Instrument,800N11403
Date,2023/05/08
Time,10:27:10
Assay #,0010
Application,Li Index
Method,Li Index
Assay Duration (set),90s
Assay Duration (total actual),100.51s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.72 C
Phase Count,3
Phases,"Phase 1(30s): 15.0kV, 39.6uA (No Filter)","Phase 2(30s): 50.0kV, 30.95uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(30s): 30.0kV, 43.55uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,Mg,0.3134,0.0455
13,Al,4.4903,0.0306
14,Si,33.0968,0.0607
15,P,0.1284,0.0045
16,S,0.0561,0.0019
19,K,1.3392,0.0038
20,Ca,0.756,0.0027
22,Ti,0.323,0.0042
24,Cr,0.0076,0.0007
25,Mn,0.0403,0.0009
26,Fe,2.8044,0.0044
28,Ni,0.0,0.0002
29,Cu,0.0083,0.0001
30,Zn,0.0146,0.0006
31,Ga,0.0023,0.0004
37,Rb,0.1288,0.0005
38,Sr,0.0203,0.0002
40,Zr,0.0124,0.0003
41,Nb,0.1628,0.0005
50,Sn,0.0721,0.0005
55,Cs,0.0277,0.0014
56,Ba,0.1043,0.0028
73,Ta,0.0009,0.0003
74,W,0.0005,0.0007
81,Tl,0.0011,0.0002
82,Pb,0.01,0.0004
100,Li_IDX,0.563,0.0
 
 
SPECTRA:
eV Channel Start,0.15335218608379364,0.18951956927776337,0.06590734422206879
eV per Channel,20.055511474609375,20.055511474609375,20.055511474609375
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.15335218608379364,0,0,0
20.20886366069317,0,0,0
40.264375135302544,0,0,0
60.31988660991192,0,0,0
80.3753980845213,0,0,0
100.43090955913067,0,0,0
120.48642103374004,0,0,0
140.54193250834942,0,0,0
160.5974439829588,0,0,0
180.65295545756817,0,0,0
200.70846693217754,0,0,0
220.76397840678692,0,0,0
240.8194898813963,0,0,0
260.87500135600567,0,0,0
280.93051283061504,0,0,0
300.9860243052244,2,1,4
321.0415357798338,58,59,54
341.09704725444317,606,687,625
361.15255872905254,3072,3474,3259
381.2080702036619,6801,7793,7296
401.2635816782713,6983,7941,7283
421.31909315288067,2928,3336,3188
441.37460462749004,589,636,652
461.4301161020994,70,73,59
481.4856275767088,3,11,1
501.54113905131817,2,3,2
521.5966505259275,0,3,6
541.6521620005369,0,2,5
561.7076734751463,0,4,1
581.7631849497557,75,594,406
601.818696424365,71,589,387
621.8742078989744,66,608,365
641.9297193735838,90,573,350
661.9852308481932,61,574,375
682.0407423228025,70,556,339
702.0962537974119,72,606,368
722.1517652720213,57,593,372
742.2072767466307,81,594,368
762.26278822124,70,560,362
782.3182996958494,65,564,373
802.3738111704588,68,519,350
822.4293226450682,72,551,362
842.4848341196775,75,538,334
862.5403455942869,98,528,331
882.5958570688963,134,519,346
902.6513685435057,193,488,356
922.706880018115,266,596,336
942.7623914927244,333,535,358
962.8179029673338,254,536,328
982.8734144419432,216,511,323
1002.9289259165525,106,513,340
1022.9844373911619,132,526,291
1043.0399488657713,145,516,325
1063.0954603403807,172,477,341
1083.15097181499,187,567,316
1103.2064832895994,176,468,318
1123.2619947642088,159,503,306
1143.3175062388182,135,503,339
1163.3730177134275,144,482,306
1183.428529188037,193,489,340
1203.4840406626463,252,437,307
1223.5395521372557,260,509,345
1243.595063611865,279,446,282
1263.6505750864744,204,463,271
1283.7060865610838,141,439,292
1303.7615980356932,162,451,238
1323.8171095103025,129,441,247
1343.872620984912,148,444,281
1363.9281324595213,151,487,268
1383.9836439341307,272,433,262
1404.03915540874,619,449,299
1424.0946668833494,1818,411,262
1444.1501783579588,3822,449,297
1464.2056898325682,5975,428,332
1484.2612013071775,6768,458,334
1504.316712781787,5510,422,338
1524.3722242563963,3550,466,305
1544.4277357310057,2004,432,228
1564.483247205615,1348,443,269
1584.5387586802244,972,447,228
1604.5942701548338,845,413,223
1624.6497816294432,1405,419,224
1644.7052931040525,4844,422,242
1664.760804578662,15962,454,345
1684.8163160532713,41451,473,573
1704.8718275278807,79025,549,930
1724.92733900249,109356,575,1265
1744.9828504770994,109540,575,1175
1765.0383619517088,80596,507,901
1785.0938734263182,45244,443,587
1805.1493849009275,21078,508,396
1825.204896375537,10246,453,286
1845.2604078501463,5870,436,252
1865.3159193247557,3315,425,198
1885.371430799365,1797,437,202
1905.4269422739744,1028,466,209
1925.4824537485838,731,481,198
1945.5379652231932,669,409,197
1965.5934766978025,835,433,201
1985.648988172412,972,431,203
2005.7044996470213,1104,408,175
2025.7600111216307,1001,492,193
2045.81552259624,752,432,179
2065.8710340708494,505,451,166
2085.926545545459,433,423,178
2105.982057020068,450,414,172
2126.0375684946775,628,431,161
2146.093079969287,792,423,161
2166.1485914438963,873,426,161
2186.2041029185057,830,444,172
2206.259614393115,711,399,155
2226.3151258677244,748,421,158
2246.370637342334,814,417,150
2266.426148816943,877,441,160
2286.4816602915525,956,387,155
2306.537171766162,982,410,144
2326.5926832407713,957,412,116
2346.6481947153807,945,393,135
2366.70370618999,999,419,116
2386.7592176645994,914,396,131
2406.814729139209,842,386,128
2426.870240613818,756,377,133
2446.9257520884275,628,360,117
2466.981263563037,620,388,119
2487.0367750376463,668,388,111
2507.0922865122557,692,380,100
2527.147797986865,731,368,116
2547.2033094614744,782,394,90
2567.258820936084,936,368,106
2587.314332410693,1439,425,136
2607.3698438853025,2486,412,108
2627.425355359912,4316,377,101
2647.4808668345213,7525,384,131
2667.5363783091307,10900,326,102
2687.59188978374,13319,360,106
2707.6474012583494,13022,353,106
2727.702912732959,10351,392,98
2747.758424207568,7421,362,87
2767.8139356821775,5404,370,96
2787.869447156787,5145,353,92
2807.9249586313963,5890,369,113
2827.9804701060057,6732,342,104
2848.035981580615,6559,370,105
2868.0914930552244,6125,359,116
2888.147004529834,5840,356,122
2908.202516004443,6572,364,166
2928.2580274790525,7639,335,232
2948.313538953662,8474,397,285
2968.3690504282713,8078,325,268
2988.4245619028807,6605,346,206
3008.48007337749,4749,337,169
3028.5355848520994,2974,299,119
3048.591096326709,1878,341,104
3068.646607801318,1186,319,108
3088.7021192759275,1045,332,72
3108.757630750537,1127,329,81
3128.8131422251463,1180,305,89
3148.8686536997557,1397,332,89
3168.924165174365,1613,324,101
3188.9796766489744,1998,320,143
3209.035188123584,2831,379,180
3229.090699598193,4826,439,362
3249.1462110728025,8961,526,543
3269.201722547412,14340,630,925
3289.2572340220213,20778,714,1267
3309.3127454966307,24337,706,1457
3329.36825697124,23096,649,1338
3349.4237684458494,17863,545,1075
3369.479279920459,11525,456,587
3389.534791395068,6654,368,420
3409.5903028696775,3484,395,237
3429.645814344287,2291,353,222
3449.7013258188963,1804,385,189
3469.7568372935057,1821,426,170
3489.812348768115,1825,464,184
3509.8678602427244,2030,419,249
3529.923371717334,2426,446,260
3549.978883191943,3223,396,285
3570.0343946665525,4305,360,311
3590.089906141162,5524,382,367
3610.1454176157713,7487,371,498
3630.2009290903807,10296,369,742
3650.25644056499,14487,393,941
3670.3119520395994,17867,435,1196
3690.367463514209,19568,455,1344
3710.422974988818,17569,425,1151
3730.4784864634275,13830,379,909
3750.533997938037,8950,337,593
3770.5895094126463,5108,308,323
3790.6450208872557,2536,259,211
3810.700532361865,1455,269,124
3830.7560438364744,1016,250,62
3850.811555311084,891,271,62
3870.867066785693,921,258,57
3890.9225782603025,1011,254,69
3910.978089734912,1236,246,75
3931.0336012095213,1465,224,100
3951.0891126841307,1910,225,124
3971.14462415874,2511,239,196
3991.2001356333494,3127,265,227
4011.255647107959,3357,248,241
4031.311158582568,3206,252,214
4051.3666700571775,2717,234,169
4071.422181531787,2117,215,149
4091.4776930063963,1729,209,99
4111.533204481006,1188,205,90
4131.588715955615,1087,213,65
4151.644227430224,1023,209,57
4171.699738904834,934,202,35
4191.755250379443,950,216,51
4211.8107618540525,1009,225,56
4231.866273328662,1092,179,65
4251.921784803271,1163,181,69
4271.977296277881,1256,225,74
4292.03280775249,1307,214,95
4312.088319227099,1266,202,77
4332.143830701709,1272,170,80
4352.199342176318,1281,197,80
4372.2548536509275,1476,175,103
4392.310365125537,2028,198,142
4412.365876600146,3188,208,318
4432.421388074756,5070,254,468
4452.476899549365,7773,296,776
4472.532411023974,10667,353,1072
4492.587922498584,12506,376,1315
4512.643433973193,12976,356,1373
4532.6989454478025,11782,327,1255
4552.754456922412,9352,298,930
4572.809968397021,6645,278,732
4592.865479871631,4842,251,525
4612.92099134624,3549,203,406
4632.976502820849,2922,221,444
4653.032014295459,2706,230,403
4673.087525770068,2446,218,357
4693.1430372446775,2167,195,281
4713.198548719287,1968,206,251
4733.254060193896,1816,167,167
4753.309571668506,1907,169,168
4773.365083143115,2124,170,170
4793.420594617724,2549,202,265
4813.476106092334,2796,187,323
4833.531617566943,3226,212,333
4853.5871290415525,3477,202,359
4873.642640516162,3659,224,402
4893.698151990771,3598,206,348
4913.753663465381,3726,197,370
4933.80917493999,3747,193,369
4953.864686414599,3608,161,352
4973.920197889209,3254,196,265
4993.975709363818,2868,176,237
5014.0312208384275,2457,161,196
5034.086732313037,2496,164,152
5054.142243787646,2199,145,141
5074.197755262256,2073,142,152
5094.253266736865,1966,131,143
5114.308778211474,2102,138,124
5134.364289686084,2032,129,143
5154.419801160693,2138,150,154
5174.4753126353025,2204,149,181
5194.530824109912,2418,156,173
5214.586335584521,2516,142,221
5234.641847059131,2614,149,260
5254.69735853374,2730,179,289
5274.752870008349,2740,171,265
5294.808381482959,2645,163,258
5314.863892957568,2725,148,236
5334.9194044321775,2755,177,234
5354.974915906787,2908,184,220
5375.030427381396,3069,185,246
5395.085938856006,3396,183,242
5415.141450330615,3276,212,244
5435.196961805224,3088,173,236
5455.252473279834,2865,201,202
5475.307984754443,2632,153,171
5495.3634962290525,2334,138,126
5515.419007703662,2100,105,155
5535.474519178271,2129,101,133
5555.530030652881,2043,118,112
5575.58554212749,1899,103,103
5595.641053602099,2036,100,121
5615.696565076709,2163,95,145
5635.752076551318,2093,93,130
5655.8075880259275,2027,112,122
5675.863099500537,2071,82,128
5695.918610975146,2067,83,136
5715.974122449756,2042,71,119
5736.029633924365,2113,105,139
5756.085145398974,2027,97,148
5776.140656873584,2112,103,179
5796.196168348193,2282,117,217
5816.2516798228025,2550,111,256
5836.307191297412,2826,114,350
5856.362702772021,3217,148,448
5876.418214246631,3489,148,532
5896.47372572124,3675,139,518
5916.529237195849,3548,136,516
5936.584748670459,3364,135,444
5956.640260145068,2916,123,335
5976.6957716196775,2607,127,272
5996.751283094287,2417,107,186
6016.806794568896,2262,91,161
6036.862306043506,2153,92,159
6056.917817518115,2120,90,149
6076.973328992724,2124,85,142
6097.028840467334,2127,96,180
6117.084351941943,2110,78,187
6137.1398634165525,2091,99,165
6157.195374891162,2241,81,202
6177.250886365771,2315,94,211
6197.306397840381,2657,113,333
6217.36190931499,3187,135,547
6237.417420789599,4564,232,1107
6257.472932264209,8169,451,2363
6277.528443738818,15103,901,5081
6297.5839552134275,27538,1625,9861
6317.639466688037,47024,2765,17516
6337.694978162646,72799,4368,27574
6357.750489637256,100492,6058,38182
6377.806001111865,123602,7396,47520
6397.861512586474,135126,8260,51981
6417.917024061084,130030,7773,49612
6437.972535535693,111484,6742,43350
6458.0280470103025,84578,5224,32609
6478.083558484912,57055,3391,21831
6498.139069959521,34797,2083,13272
6518.194581434131,19578,1101,7139
6538.25009290874,10311,560,3394
6558.305604383349,5491,280,1632
6578.361115857959,3298,160,735
6598.416627332568,2421,106,386
6618.4721388071775,2077,83,242
6638.527650281787,2017,67,214
6658.583161756396,1843,59,186
6678.638673231006,1902,54,176
6698.694184705615,1746,72,170
6718.749696180224,1770,84,146
6738.805207654834,1801,66,146
6758.860719129443,1770,61,152
6778.9162306040525,1763,72,149
6798.971742078662,1951,67,178
6819.027253553271,1888,77,215
6839.082765027881,2082,81,207
6859.13827650249,2153,84,272
6879.193787977099,2440,98,373
6899.249299451709,2842,140,532
6919.304810926318,3685,184,874
6939.3603224009275,4978,253,1418
6959.415833875537,7216,395,2409
6979.471345350146,10441,640,3737
6999.526856824756,14384,899,5269
7019.582368299365,17786,1106,6981
7039.637879773974,20447,1307,7965
7059.693391248584,21418,1401,8499
7079.748902723193,19824,1382,7991
7099.8044141978025,17004,1128,6574
7119.859925672412,13202,889,5066
7139.915437147021,9465,543,3506
7159.970948621631,6135,388,2242
7180.02646009624,4042,244,1231
7200.081971570849,2608,134,609
7220.137483045459,2017,69,339
7240.192994520068,1682,53,168
7260.2485059946775,1454,51,97
7280.304017469287,1468,34,58
7300.359528943896,1412,38,58
7320.415040418506,1428,33,53
7340.470551893115,1469,33,52
7360.526063367724,1480,45,49
7380.581574842334,1535,52,71
7400.637086316943,1608,56,79
7420.6925977915525,1688,65,112
7440.748109266162,1717,79,128
7460.803620740771,1724,86,122
7480.859132215381,1755,77,129
7500.91464368999,1696,70,127
7520.970155164599,1677,84,107
7541.025666639209,1517,42,90
7561.081178113818,1456,67,78
7581.1366895884275,1371,52,65
7601.192201063037,1359,44,45
7621.247712537646,1309,36,45
7641.303224012256,1332,39,36
7661.358735486865,1326,36,29
7681.414246961474,1346,29,33
7701.469758436084,1288,28,38
7721.525269910693,1377,40,39
7741.5807813853025,1290,30,34
7761.636292859912,1349,39,41
7781.691804334521,1333,28,39
7801.747315809131,1311,26,38
7821.80282728374,1375,27,47
7841.858338758349,1387,32,60
7861.913850232959,1410,35,67
7881.969361707568,1475,47,87
7902.0248731821775,1492,49,160
7922.080384656787,1606,60,227
7942.135896131396,1743,92,413
7962.191407606006,1967,138,626
7982.246919080615,2286,199,909
8002.302430555224,2513,213,1083
8022.357942029834,2709,255,1278
8042.413453504443,2859,248,1416
8062.4689649790525,2981,270,1368
8082.524476453662,2977,222,1216
8102.579987928271,2952,188,899
8122.635499402881,2636,153,717
8142.69101087749,2584,103,479
8162.746522352099,2437,88,360
8182.802033826709,2256,64,197
8202.857545301318,2036,52,142
8222.913056775928,1898,41,96
8242.968568250537,1695,36,81
8263.024079725146,1652,42,78
8283.079591199756,1536,46,78
8303.135102674365,1410,48,55
8323.190614148974,1279,43,57
8343.246125623584,1362,27,48
8363.301637098193,1316,29,59
8383.357148572803,1327,47,67
8403.412660047412,1309,41,69
8423.468171522021,1368,33,85
8443.52368299663,1307,34,60
8463.57919447124,1348,39,70
8483.63470594585,1296,34,123
8503.690217420459,1416,61,172
8523.745728895068,1444,54,226
8543.801240369678,1508,77,373
8563.856751844287,1633,108,505
8583.912263318896,1800,123,633
8603.967774793506,1883,136,734
8624.023286268115,1908,192,831
8644.078797742724,1893,161,839
8664.134309217334,1857,174,742
8684.189820691943,1812,135,683
8704.245332166553,1734,116,515
8724.300843641162,1610,91,399
8744.356355115771,1527,88,283
8764.41186659038,1481,56,221
8784.46737806499,1558,60,166
8804.5228895396,1605,50,155
8824.578401014209,1561,44,173
8844.633912488818,1575,55,207
8864.689423963428,1593,63,254
8884.744935438037,1605,72,275
8904.800446912646,1626,78,310
8924.855958387256,1516,57,293
8944.911469861865,1476,73,227
8964.966981336474,1531,61,258
8985.022492811084,1416,47,178
9005.078004285693,1456,32,149
9025.133515760303,1472,33,128
9045.189027234912,1413,13,106
9065.244538709521,1408,25,104
9085.30005018413,1435,33,83
9105.35556165874,1457,25,107
9125.41107313335,1519,45,138
9145.466584607959,1444,40,138
9165.522096082568,1452,42,173
9185.577607557178,1475,54,198
9205.633119031787,1525,59,233
9225.688630506396,1551,54,279
9245.744141981006,1522,65,259
9265.799653455615,1583,62,260
9285.855164930224,1423,45,267
9305.910676404834,1476,46,228
9325.966187879443,1506,39,223
9346.021699354053,1441,37,199
9366.077210828662,1468,41,175
9386.132722303271,1433,35,143
9406.18823377788,1489,33,175
9426.24374525249,1377,45,148
9446.2992567271,1427,40,164
9466.354768201709,1427,46,169
9486.410279676318,1404,45,198
9506.465791150928,1405,43,205
9526.521302625537,1403,54,231
9546.576814100146,1452,50,231
9566.632325574756,1500,55,273
9586.687837049365,1455,53,271
9606.743348523974,1540,69,269
9626.798859998584,1475,57,233
9646.854371473193,1556,61,236
9666.909882947803,1469,56,224
9686.965394422412,1564,57,224
9707.020905897021,1534,68,234
9727.07641737163,1534,54,187
9747.13192884624,1550,55,167
9767.18744032085,1502,56,193
9787.242951795459,1494,60,153
9807.298463270068,1505,42,177
9827.353974744678,1378,42,181
9847.409486219287,1428,34,190
9867.464997693896,1423,43,193
9887.520509168506,1399,32,200
9907.576020643115,1333,41,198
9927.631532117724,1354,35,201
9947.687043592334,1359,36,195
9967.742555066943,1398,28,175
9987.798066541553,1413,28,187
10007.853578016162,1369,22,195
10027.909089490771,1455,35,169
10047.96460096538,1424,24,181
10068.02011243999,1481,21,203
10088.0756239146,1387,31,198
10108.131135389209,1445,18,182
10128.186646863818,1473,26,204
10148.242158338428,1376,34,215
10168.297669813037,1445,30,225
10188.353181287646,1412,28,237
10208.408692762256,1340,38,251
10228.464204236865,1348,41,294
10248.519715711474,1289,44,268
10268.575227186084,1332,48,271
10288.630738660693,1270,40,273
10308.686250135303,1270,41,272
10328.741761609912,1312,44,312
10348.797273084521,1248,47,295
10368.85278455913,1306,31,303
10388.90829603374,1307,52,290
10408.96380750835,1333,68,347
10429.019318982959,1361,68,438
10449.074830457568,1381,84,481
10469.130341932178,1335,112,639
10489.185853406787,1359,117,684
10509.241364881396,1359,135,754
10529.296876356006,1291,143,815
10549.352387830615,1322,135,883
10569.407899305224,1303,133,788
10589.463410779834,1265,108,712
10609.518922254443,1344,101,645
10629.574433729053,1284,83,560
10649.629945203662,1303,63,432
10669.685456678271,1189,56,424
10689.74096815288,1233,46,382
10709.79647962749,1245,39,358
10729.8519911021,1204,36,370
10749.907502576709,1239,42,357
10769.963014051318,1189,38,315
10790.018525525928,1194,47,387
10810.074037000537,1204,45,365
10830.129548475146,1235,58,449
10850.185059949756,1256,50,399
10870.240571424365,1254,52,392
10890.296082898974,1293,42,403
10910.351594373584,1226,34,354
10930.407105848193,1191,49,405
10950.462617322803,1260,37,374
10970.518128797412,1195,33,362
10990.573640272021,1183,34,388
11010.62915174663,1128,27,385
11030.68466322124,1145,35,359
11050.74017469585,1102,34,346
11070.795686170459,1108,31,364
11090.851197645068,1103,34,377
11110.906709119678,1084,26,339
11130.962220594287,1112,28,378
11151.017732068896,1044,26,386
11171.073243543506,1081,28,373
11191.128755018115,1069,32,389
11211.184266492724,1032,35,383
11231.239777967334,1069,38,389
11251.295289441943,1050,34,421
11271.350800916553,1071,30,434
11291.406312391162,1059,34,438
11311.461823865771,1054,30,440
11331.51733534038,1055,31,399
11351.57284681499,1086,29,392
11371.6283582896,1096,34,442
11391.683869764209,1004,40,455
11411.739381238818,1025,50,454
11431.794892713428,1032,41,441
11451.850404188037,1001,43,448
11471.905915662646,1011,36,471
11491.961427137256,1020,49,428
11512.016938611865,1052,45,429
11532.072450086474,1030,58,498
11552.127961561084,994,43,446
11572.183473035693,976,43,523
11592.238984510303,1003,49,521
11612.294495984912,1027,48,528
11632.350007459521,948,44,508
11652.40551893413,981,54,554
11672.46103040874,1015,53,584
11692.51654188335,953,55,585
11712.572053357959,977,64,585
11732.627564832568,974,42,563
11752.683076307178,936,51,580
11772.738587781787,965,38,599
11792.794099256396,936,31,578
11812.849610731006,957,37,587
11832.905122205615,984,28,537
11852.960633680224,928,25,543
11873.016145154834,936,24,515
11893.071656629443,865,30,572
11913.127168104053,932,22,579
11933.182679578662,851,29,521
11953.238191053271,911,25,553
11973.29370252788,909,26,543
11993.34921400249,869,24,547
12013.4047254771,880,27,543
12033.460236951709,910,34,583
12053.515748426318,856,24,583
12073.571259900928,888,37,590
12093.626771375537,872,24,597
12113.682282850146,808,33,575
12133.737794324756,860,39,545
12153.793305799365,826,40,593
12173.848817273974,839,38,617
12193.904328748584,819,52,660
12213.959840223193,871,49,644
12234.015351697803,791,41,652
12254.070863172412,772,37,690
12274.126374647021,796,36,652
12294.18188612163,872,30,649
12314.23739759624,761,43,622
12334.29290907085,761,32,644
12354.348420545459,809,34,695
12374.403932020068,798,37,672
12394.459443494678,753,33,653
12414.514954969287,799,25,655
12434.570466443896,786,30,681
12454.625977918506,744,41,687
12474.681489393115,718,38,711
12494.737000867724,721,40,752
12514.792512342334,753,39,718
12534.848023816943,737,61,779
12554.903535291553,716,59,713
12574.959046766162,730,62,759
12595.014558240771,687,56,834
12615.07006971538,752,67,799
